":ID","id","name","fullName","scheme","firstReleaseYear:int","governanceStatement","statusStatement","description","sourceJurisdictionLabel","assertedBy","authoritativeSource","sourceVersion","mappingStatus","judgementReason","whyAStandard","isNiche:boolean","evidenceStatus",":LABEL","regulatoryRequirementReference"
"standard-category:storage-systems","storage-systems","Storage Systems","","standard-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;StandardCategory",""
"regulation-section:law","law","Regulation — what the law requires","","regulation-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;RegulationCategory",""
"regulation-section:governance","governance","Governance & Management — how data is governed","","regulation-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;RegulationCategory",""
"regulation-section:security","security","Security & Risk — how data is protected","","regulation-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;RegulationCategory",""
"regulation-section:identity","identity","Identity & Agents — who is acting, and on whose behalf","","regulation-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;RegulationCategory",""
"regulation-section:ai","ai","AI & Applications — how systems built on data are held accountable","","regulation-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;RegulationCategory",""
"regulation-section:assurance","assurance","Assurance & Exchange — how compliance is evidenced and data is shared","","regulation-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;RegulationCategory",""
"regulation-category:eu-data-and-ai-acts","eu-data-and-ai-acts","EU Data & AI Acts","","regulation-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;RegulationCategory",""
"regulation-category:eu-resilience-and-security-acts","eu-resilience-and-security-acts","EU Resilience & Security Acts","","regulation-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;RegulationCategory",""
"regulation-category:global-and-sector-regulation","global-and-sector-regulation","Global & Sector Regulation","","regulation-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;RegulationCategory",""
"regulation-category:data-management-frameworks","data-management-frameworks","Data Management Frameworks","","regulation-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;RegulationCategory",""
"regulation-category:metadata-and-quality","metadata-and-quality","Metadata & Quality","","regulation-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;RegulationCategory",""
"regulation-category:usage-policy-and-rights","usage-policy-and-rights","Usage Policy & Rights","","regulation-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;RegulationCategory",""
"regulation-category:management-systems","management-systems","Management Systems","","regulation-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;RegulationCategory",""
"regulation-category:security-controls","security-controls","Security Controls","","regulation-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;RegulationCategory",""
"regulation-category:privacy","privacy","Privacy","","regulation-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;RegulationCategory",""
"regulation-category:threat-intelligence","threat-intelligence","Threat Intelligence","","regulation-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;RegulationCategory",""
"regulation-category:identity-and-access","identity-and-access","Identity & Access","","regulation-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;RegulationCategory",""
"regulation-category:agent-identity-and-trust","agent-identity-and-trust","Agent Identity & Trust","","regulation-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;RegulationCategory",""
"regulation-category:agent-interaction","agent-interaction","Agent Interaction","","regulation-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;RegulationCategory",""
"regulation-category:ai-governance","ai-governance","AI Governance","","regulation-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;RegulationCategory",""
"regulation-category:application-and-api-security","application-and-api-security","Application & API Security","","regulation-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;RegulationCategory",""
"regulation-category:cloud-and-certification","cloud-and-certification","Cloud & Certification","","regulation-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;RegulationCategory",""
"regulation-category:audit-and-attestation","audit-and-attestation","Audit & Attestation","","regulation-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;RegulationCategory",""
"regulation-category:software-supply-chain","software-supply-chain","Software Supply Chain","","regulation-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;RegulationCategory",""
"regulation-category:data-spaces-and-sovereignty","data-spaces-and-sovereignty","Data Spaces & Sovereignty","","regulation-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;RegulationCategory",""
"judgement:adopt","adopt","Adopt","","judgements","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;Judgement",""
"judgement:situational","situational","Situational","","judgements","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;Judgement",""
"judgement:assess","assess","Assess","","judgements","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;Judgement",""
"judgement:caution","caution","Caution","","judgements","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;Judgement",""
"tier:stable","stable","Stable","","tiers","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;Tier",""
"tier:emerging","emerging","Emerging","","tiers","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;Tier",""
"tier:vendor","vendor","Vendor","","tiers","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;Tier",""
"tier:legacy","legacy","Legacy","","tiers","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;Tier",""
"tier:niche","niche","Niche","","tiers","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;Tier",""
"governance:law","law","Law or regulation","","governance-types","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;GovernanceType",""
"governance:formal-standard","formal-standard","Formal standard","","governance-types","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;GovernanceType",""
"governance:foundation","foundation","Foundation","","governance-types","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;GovernanceType",""
"governance:community","community","Community","","governance-types","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;GovernanceType",""
"governance:vendor-led","vendor-led","Vendor led","","governance-types","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;GovernanceType",""
"jurisdiction:eu","eu","European Union","","jurisdictions","","","","","","","","","","","","","NORMALISED_FROM_SOURCE","Concept;Jurisdiction",""
"jurisdiction:germany","germany","Germany","","jurisdictions","","","","","","","","","","","","","NORMALISED_FROM_SOURCE","Concept;Jurisdiction",""
"jurisdiction:global","global","Global","","jurisdictions","","","","","","","","","","","","","NORMALISED_FROM_SOURCE","Concept;Jurisdiction",""
"jurisdiction:us","us","United States","","jurisdictions","","","","","","","","","","","","","NORMALISED_FROM_SOURCE","Concept;Jurisdiction",""
"mapping-relation:maps-to","maps-to","Maps to","","mapping-relations","","","","","","","","","","","","","MODELLED_VOCABULARY","Concept;MappingRelation",""
"mapping-relation:supports-evidence-for","supports-evidence-for","Supports evidence for","","mapping-relations","","","","","","","","","","","","","MODELLED_VOCABULARY","Concept;MappingRelation",""
"mapping-relation:equivalent","equivalent","Equivalent","","mapping-relations","","","","","","","","","","","","","MODELLED_VOCABULARY","Concept;MappingRelation",""
"mapping-relation:partially-equivalent","partially-equivalent","Partially equivalent","","mapping-relations","","","","","","","","","","","","","MODELLED_VOCABULARY","Concept;MappingRelation",""
"mapping-relation:related","related","Related","","mapping-relations","","","","","","","","","","","","","MODELLED_VOCABULARY","Concept;MappingRelation",""
"mapping-relation:supports-implementation","supports-implementation","Supports implementation","","mapping-relations","","","","","","","","","","","","","MODELLED_VOCABULARY","Concept;MappingRelation",""
"mapping-relation:no-coverage","no-coverage","No coverage","","mapping-relations","","","","","","","","","","","","","MODELLED_VOCABULARY","Concept;MappingRelation",""
"mapping-relation:not-assessed","not-assessed","Not assessed","","mapping-relations","","","","","","","","","","","","","MODELLED_VOCABULARY","Concept;MappingRelation",""
"mapping-authority:regulator-issued","regulator-issued","Regulator issued","","mapping-authority-types","","","","","","","","","","","","","MODELLED_VOCABULARY","Concept;MappingAuthorityType",""
"mapping-authority:standards-body-issued","standards-body-issued","Standards body issued","","mapping-authority-types","","","","","","","","","","","","","MODELLED_VOCABULARY","Concept;MappingAuthorityType",""
"mapping-authority:source-author","source-author","Source author","","mapping-authority-types","","","","","","","","","","","","","MODELLED_VOCABULARY","Concept;MappingAuthorityType",""
"mapping-authority:target-author","target-author","Target author","","mapping-authority-types","","","","","","","","","","","","","MODELLED_VOCABULARY","Concept;MappingAuthorityType",""
"mapping-authority:bilateral","bilateral","Bilateral","","mapping-authority-types","","","","","","","","","","","","","MODELLED_VOCABULARY","Concept;MappingAuthorityType",""
"mapping-authority:third-party-official","third-party-official","Third-party official","","mapping-authority-types","","","","","","","","","","","","","MODELLED_VOCABULARY","Concept;MappingAuthorityType",""
"mapping-authority:community-submitted","community-submitted","Community submitted","","mapping-authority-types","","","","","","","","","","","","","MODELLED_VOCABULARY","Concept;MappingAuthorityType",""
"pattern-type:batch-file-ingestion","batch-file-ingestion","Batch file ingestion","","","","","","","","","","","","","","","MODELLED_VOCABULARY","DataIngestionPatternType",""
"pattern-type:api-pull-ingestion","api-pull-ingestion","API pull ingestion","","","","","","","","","","","","","","","MODELLED_VOCABULARY","DataIngestionPatternType",""
"pattern-type:event-driven-ingestion","event-driven-ingestion","Event-driven ingestion","","","","","","","","","","","","","","","MODELLED_VOCABULARY","DataIngestionPatternType",""
"pattern-type:database-cdc-ingestion","database-cdc-ingestion","Database CDC ingestion","","","","","","","","","","","","","","","MODELLED_VOCABULARY","DataIngestionPatternType",""
"pattern-type:object-store-replication","object-store-replication","Object-store replication","","","","","","","","","","","","","","","MODELLED_VOCABULARY","DataIngestionPatternType",""
"pattern-type:table-format-streaming","table-format-streaming","Table-format streaming","","","","","","","","","","","","","","","MODELLED_VOCABULARY","DataIngestionPatternType",""
"module-type:define","define","Define module","","","","","","","","","","","","","","","MODELLED_VOCABULARY","DataPipelineModuleType",""
"module-type:trigger","trigger","Trigger module","","","","","","","","","","","","","","","MODELLED_VOCABULARY","DataPipelineModuleType",""
"module-type:orchestrate","orchestrate","Orchestrate module","","","","","","","","","","","","","","","MODELLED_VOCABULARY","DataPipelineModuleType",""
"module-type:govern","govern","Govern module","","","","","","","","","","","","","","","MODELLED_VOCABULARY","DataPipelineModuleType",""
"module-type:store","store","Store module","","","","","","","","","","","","","","","MODELLED_VOCABULARY","DataPipelineModuleType",""
"component-type:data-product-definition","data-product-definition","Data product definition","","","","","","","","","","","","","","","MODELLED_VOCABULARY","DataPipelineComponentType",""
"component-type:data-contract-definition","data-contract-definition","Data contract definition","","","","","","","","","","","","","","","MODELLED_VOCABULARY","DataPipelineComponentType",""
"component-type:semantic-description","semantic-description","Semantic description","","","","","","","","","","","","","","","MODELLED_VOCABULARY","DataPipelineComponentType",""
"component-type:trigger-invocation","trigger-invocation","Trigger invocation","","","","","","","","","","","","","","","MODELLED_VOCABULARY","DataPipelineComponentType",""
"component-type:workload-planning","workload-planning","Workload planning","","","","","","","","","","","","","","","MODELLED_VOCABULARY","DataPipelineComponentType",""
"component-type:secure-read-access","secure-read-access","Secure read access","","","","","","","","","","","","","","","MODELLED_VOCABULARY","DataPipelineComponentType",""
"component-type:source-connectivity","source-connectivity","Source connectivity","","","","","","","","","","","","","","","MODELLED_VOCABULARY","DataPipelineComponentType",""
"component-type:workload-execution-orchestration","workload-execution-orchestration","Workload execution/orchestration","","","","","","","","","","","","","","","MODELLED_VOCABULARY","DataPipelineComponentType",""
"component-type:state-and-idempotency","state-and-idempotency","State and idempotency","","","","","","","","","","","","","","","MODELLED_VOCABULARY","DataPipelineComponentType",""
"component-type:validation-and-contract-binding","validation-and-contract-binding","Validation and contract binding","","","","","","","","","","","","","","","MODELLED_VOCABULARY","DataPipelineComponentType",""
"component-type:failure-isolation","failure-isolation","Failure isolation","","","","","","","","","","","","","","","MODELLED_VOCABULARY","DataPipelineComponentType",""
"component-type:secure-write-access","secure-write-access","Secure write access","","","","","","","","","","","","","","","MODELLED_VOCABULARY","DataPipelineComponentType",""
"component-type:metadata-registration","metadata-registration","Metadata registration","","","","","","","","","","","","","","","MODELLED_VOCABULARY","DataPipelineComponentType",""
"component-type:store-write-data-product","store-write-data-product","Store/write data product","","","","","","","","","","","","","","","MODELLED_VOCABULARY","DataPipelineComponentType",""
"standard:sql","sql","SQL","Structured Query Language","","1986","ANSI / ISO/IEC 9075","Stable since 1986; revised regularly (latest SQL:2023)","","","","","","","","","false","DIRECT_OBSERVATION","LandscapeEntry;DataStandardLandscapeEntry",""
"assessment:sql","assessment-sql","SQL landscape assessment","","","","","","","","","","","","The universal data query language; not a decision.","","","DIRECT_OBSERVATION","LandscapeAssessment",""
"standard:mdx","mdx","MDX","Multidimensional Expressions","","1997","Originally Microsoft (1997); referenced by the XMLA specification","Legacy; ubiquitous in OLAP/cube tooling, no significant new adoption","","","","","","","","","false","DIRECT_OBSERVATION","LandscapeEntry;DataStandardLandscapeEntry",""
"assessment:mdx","assessment-mdx","MDX landscape assessment","","","","","","","","","","","","Multidimensional query language; surviving only in MS Analysis Services.","","","DIRECT_OBSERVATION","LandscapeAssessment",""
"standard:substrait","substrait","Substrait","Substrait","","2021","Substrait Project (independent; ASF-inspired PMC)","Stable; growing adoption across query engines","","","","","","","","Substrait is published as an open specification with protobuf-defined plan types, governed by an independent, ASF-inspired PMC. Multiple independent engines consume and produce Substrait plans, which is exactly the cross-vendor interchange contract that makes it a standard rather than a project.","true","DIRECT_OBSERVATION","LandscapeEntry;DataStandardLandscapeEntry",""
"assessment:substrait","assessment-substrait","Substrait landscape assessment","","","","","","","","","","","","Cross-engine query-plan IR — pick when you're building or integrating engines that need a portable plan format; end users rarely touch it.","","","DIRECT_OBSERVATION","LandscapeAssessment",""
"standard:opentelemetry","opentelemetry","OpenTelemetry","OpenTelemetry","","2019","CNCF (Cloud Native Computing Foundation), Linux Foundation","Stable; widely adopted across cloud-native stacks","","","","","","","","","false","DIRECT_OBSERVATION","LandscapeEntry;DataStandardLandscapeEntry",""
"assessment:opentelemetry","assessment-opentelemetry","OpenTelemetry landscape assessment","","","","","","","","","","","","Vendor-neutral observability standard.","","","DIRECT_OBSERVATION","LandscapeAssessment",""
"standard:oors","oors","OORS","Open Observability Results Standard","","2025","BITOL / Linux Foundation (draft)","Emerging — auxiliary BITOL standard, not yet released","","","","","","","","","false","DIRECT_OBSERVATION","LandscapeEntry;DataStandardLandscapeEntry",""
"assessment:oors","assessment-oors","OORS landscape assessment","","","","","","","","","","","","BITOL observability/quality-result standard; new and under-adopted.","","","DIRECT_OBSERVATION","LandscapeAssessment",""
"standard:odcs","odcs","ODCS","Open Data Contract Standard","","2023","BITOL / Linux Foundation","v3.1 stable; v3.2 in progress","","","","","","","","","false","DIRECT_OBSERVATION","LandscapeEntry;DataStandardLandscapeEntry",""
"assessment:odcs","assessment-odcs","ODCS landscape assessment","","","","","","","","","","","","Winning data-contract spec; YAML, multi-vendor.","","","DIRECT_OBSERVATION","LandscapeAssessment",""
"standard:openapi","openapi","OpenAPI","OpenAPI Specification","","2011","OpenAPI Initiative, Linux Foundation","Stable; OAS 3.1 current","","","","","","","","","false","DIRECT_OBSERVATION","LandscapeEntry;DataStandardLandscapeEntry",""
"assessment:openapi","assessment-openapi","OpenAPI landscape assessment","","","","","","","","","","","","De-facto REST description with tooling for almost every language.","","","DIRECT_OBSERVATION","LandscapeAssessment",""
"standard:asyncapi","asyncapi","AsyncAPI","AsyncAPI Specification","","2017","AsyncAPI Initiative, Linux Foundation","Stable; v3 current","","","","","","","","","false","DIRECT_OBSERVATION","LandscapeEntry;DataStandardLandscapeEntry",""
"assessment:asyncapi","assessment-asyncapi","AsyncAPI landscape assessment","","","","","","","","","","","","The OpenAPI-equivalent for event APIs once you commit to documenting them.","","","DIRECT_OBSERVATION","LandscapeAssessment",""
"standard:graphql","graphql","GraphQL","GraphQL","","2015","GraphQL Foundation, Linux Foundation","Stable; widely adopted","","","","","","","","","false","DIRECT_OBSERVATION","LandscapeEntry;DataStandardLandscapeEntry",""
"assessment:graphql","assessment-graphql","GraphQL landscape assessment","","","","","","","","","","","","Default for client-driven aggregation; mature spec, multi-language tooling, well-established at scale.","","","DIRECT_OBSERVATION","LandscapeAssessment",""
"standard:grpc","grpc","gRPC","gRPC Remote Procedure Call","","2015","CNCF (Incubating), Linux Foundation","Stable; ubiquitous in cloud-native stacks","","","","","","","","","false","DIRECT_OBSERVATION","LandscapeEntry;DataStandardLandscapeEntry",""
"assessment:grpc","assessment-grpc","gRPC landscape assessment","","","","","","","","","","","","Right for service-to-service binary RPC; wrong for browser clients.","","","DIRECT_OBSERVATION","LandscapeAssessment",""
"standard:dbt","dbt","dbt","data build tool","","2016","dbt Labs (vendor-driven open source)","De-facto standard for analytics engineering; vendor-governed format","","","","","","","","The dbt project artefacts — the manifest.json, the model YAML, the schema.yml tests — have become the interchange format for analytics engineering. SQLMesh, Lightdash, Elementary, dbt-osmosis and many other tools read or emit dbt's project structure rather than inventing their own. Quality checks declared in dbt are part of that surface. That makes the format itself the standard, even though dbt Labs governs it.","false","DIRECT_OBSERVATION","LandscapeEntry;DataStandardLandscapeEntry",""
"assessment:dbt","assessment-dbt","dbt landscape assessment","","","","","","","","","","","","Analytics-engineering default: SQL-first models, tests, lineage.","","","DIRECT_OBSERVATION","LandscapeAssessment",""
"standard:great-expectations","great-expectations","Great Expectations","Great Expectations","","2018","GX Labs (vendor-driven open source)","Widely adopted; vendor-driven","","","","","","","","The expectations DSL and the JSON validation-result schema GX defines have become the reference vocabulary for declarative data quality in Python. Other tools embed or interoperate with Great Expectations rather than reinvent the same primitives. The standard part is the expectation language and its result format — not the company behind it.","false","DIRECT_OBSERVATION","LandscapeEntry;DataStandardLandscapeEntry",""
"assessment:great-expectations","assessment-great-expectations","Great Expectations landscape assessment","","","","","","","","","","","","Python-first DQ; powerful but heavy.","","","DIRECT_OBSERVATION","LandscapeAssessment",""
"standard:dbt-tests","dbt-tests","dbt tests","dbt schema and data tests","","2016","dbt Labs (vendor-driven open source)","De-facto for analytics teams already on dbt","","","","","","","","dbt's test definitions and the manifest entries they produce are what other DQ tools (Elementary, re_data, dbt-osmosis) read. The format is the standard surface even though dbt Labs governs it.","false","DIRECT_OBSERVATION","LandscapeEntry;DataStandardLandscapeEntry",""
"assessment:dbt-tests","assessment-dbt-tests","dbt tests landscape assessment","","","","","","","","","","","","Right when your transformations already live in dbt; otherwise reach for a standalone DQ tool.","","","DIRECT_OBSERVATION","LandscapeAssessment",""
"standard:sodacl","sodacl","SodaCL","Soda Checks Language","","2022","Soda (vendor-driven open source)","Widely adopted; vendor-driven","","","","","","","","SodaCL is the YAML check language Soda publishes — and the part that other tools have standardised on. The Data Contract CLI delegates ODCS quality checks to SodaCL because expressing checks portably matters more than running them in Soda Cloud. The check syntax is the standard surface, even though Soda governs it.","false","DIRECT_OBSERVATION","LandscapeEntry;DataStandardLandscapeEntry",""
"assessment:sodacl","assessment-sodacl","SodaCL landscape assessment","","","","","","","","","","","","YAML-first DQ; lighter than Great Expectations, smaller ecosystem.","","","DIRECT_OBSERVATION","LandscapeAssessment",""
"standard:odps","odps","ODPS","Open Data Product Standard","","2025","BITOL / Linux Foundation","v1.0","","","","","","","","","false","DIRECT_OBSERVATION","LandscapeEntry;DataStandardLandscapeEntry",""
"assessment:odps","assessment-odps","ODPS landscape assessment","","","","","","","","","","","","Winning data-product spec; ODCS-aligned.","","","DIRECT_OBSERVATION","LandscapeAssessment",""
"standard:dpds","dpds","DPDS","Data Product Descriptor Specification","","2022","OpenDataMesh community","Active; community-driven specification","","","","","","","","","false","DIRECT_OBSERVATION","LandscapeEntry;DataStandardLandscapeEntry",""
"assessment:dpds","assessment-dpds","DPDS landscape assessment","","","","","","","","","","","","Coexists with BITOL's ODPS but with smaller community.","","","DIRECT_OBSERVATION","LandscapeAssessment",""
"standard:odpspec","odpspec","ODPS","Open Data Product Specification","","2022","opendataproducts.org / Linux Foundation","Active; mature pricing & i18n features","","","","","","","","","false","DIRECT_OBSERVATION","LandscapeEntry;DataStandardLandscapeEntry",""
"assessment:odpspec","assessment-odpspec","ODPS landscape assessment","","","","","","","","","","","","LF-governed data-product spec; strong on commercial terms, modest adoption.","","","DIRECT_OBSERVATION","LandscapeAssessment",""
"standard:dprod","dprod","DPROD","Data Product Vocabulary (DPROD)","","2024","EKGF / Object Management Group (OMG) — RDF/OWL vocabulary","Active in semantic-web circles","","","","","","","","","false","DIRECT_OBSERVATION","LandscapeEntry;DataStandardLandscapeEntry",""
"assessment:dprod","assessment-dprod","DPROD landscape assessment","","","","","","","","","","","","RDF/OWL data-product vocabulary; right only when your stack already lives in linked data.","","","DIRECT_OBSERVATION","LandscapeAssessment",""
"standard:iceberg","iceberg","Iceberg","Apache Iceberg","","2017","Apache Software Foundation","Stable; effectively the winner of the table-format race","","","","","","","","Iceberg's table-format specification — manifest files, metadata layout, snapshot semantics — is published openly and re-implemented by every major engine: Snowflake, Databricks, Trino, Spark, Dremio, DuckDB. The format itself is the standard; the original Netflix implementation is just one client of it.","false","DIRECT_OBSERVATION","LandscapeEntry;DataStandardLandscapeEntry",""
"assessment:iceberg","assessment-iceberg","Iceberg landscape assessment","","","","","","","","","","","","Default open table format for new lakes; multi-vendor catalog support and ASF governance.","","","DIRECT_OBSERVATION","LandscapeAssessment",""
"standard:delta","delta","Delta","Delta Lake","","2019","Linux Foundation (originally Databricks)","Stable; widely deployed","","","","","","","","The Delta transaction-log protocol is published as an open spec and implemented by readers and writers beyond Databricks — delta-rs, Trino, Flink, Spark. The standard surface is the protocol, not the Databricks runtime; that is what makes a Delta table portable across engines.","false","DIRECT_OBSERVATION","LandscapeEntry;DataStandardLandscapeEntry",""
"assessment:delta","assessment-delta","Delta landscape assessment","","","","","","","","","","","","Reach-For if you're on Databricks; Situational elsewhere.","","","DIRECT_OBSERVATION","LandscapeAssessment",""
"standard:hudi","hudi","Hudi","Apache Hudi","","2017","Apache Software Foundation","Stable; strong streaming/upsert focus","","","","","","","","Hudi publishes its on-disk table format and timeline protocol as an open spec, and engines beyond the Hudi runtime (Spark, Flink, Trino, Presto) read and write it directly. The format is the standard part; the platform tooling is one implementation of it.","false","DIRECT_OBSERVATION","LandscapeEntry;DataStandardLandscapeEntry",""
"assessment:hudi","assessment-hudi","Hudi landscape assessment","","","","","","","","","","","","Third-place table format; legitimate CDC-upsert use cases but lost the default slot.","","","DIRECT_OBSERVATION","LandscapeAssessment",""
"standard:ducklake","ducklake","DuckLake","DuckLake","","2025","DuckDB Labs (vendor-driven open source)","Emerging; v1.0 production-ready (April 2026), adoption concentrated in the DuckDB ecosystem","","","","","","","","DuckLake's catalog schema is published as an open SQL specification — any database that speaks SQL can host a DuckLake catalog. Listed on the de-facto criterion: the schema is the standard surface, even though DuckDB Labs governs it and adoption is still early.","false","DIRECT_OBSERVATION","LandscapeEntry;DataStandardLandscapeEntry",""
"assessment:ducklake","assessment-ducklake","DuckLake landscape assessment","","","","","","","","","","","","DuckDB-Labs catalog; v1.0 production-ready, ecosystem still small.","","","DIRECT_OBSERVATION","LandscapeAssessment",""
"standard:xml-schema","xml-schema","XML Schema","XML Schema Definition (XSD)","","2001","W3C","Stable since 2001","","","","","","","","","false","DIRECT_OBSERVATION","LandscapeEntry;DataStandardLandscapeEntry",""
"assessment:xml-schema","assessment-xml-schema","XML Schema landscape assessment","","","","","","","","","","","","The schema language for XML — load-bearing in enterprise integration, finance, healthcare, and government with mature tooling.","","","DIRECT_OBSERVATION","LandscapeAssessment",""
"standard:json-schema","json-schema","JSON Schema","JSON Schema","","2009","JSON Schema community / IETF","Latest draft 2020-12; published independently after leaving the IETF Internet-Draft track","","","","","","","","","false","DIRECT_OBSERVATION","LandscapeEntry;DataStandardLandscapeEntry",""
"assessment:json-schema","assessment-json-schema","JSON Schema landscape assessment","","","","","","","","","","","","Default API-payload validation; behind OpenAPI/AsyncAPI.","","","DIRECT_OBSERVATION","LandscapeAssessment",""
"standard:sql-ddl","sql-ddl","SQL DDL","SQL Data Definition Language","","1986","ANSI / ISO/IEC 9075","Stable; per-vendor extensions are everywhere","","","","","","","","","false","DIRECT_OBSERVATION","LandscapeEntry;DataStandardLandscapeEntry",""
